"sub","SelfRew1","SelfRew2","SelfRew3","OtherRew1","OtherRew2","OtherRew3","SelfEff1","SelfEff2","SelfEff3","SelfEff4","OtherEff1","OtherEff2","OtherEff3","OtherEff4","WorkSelf","WorkOther","trabajo_self","trabajo_other","trabajo_total","zeros_SELF","zeros_OTHER","zeros_TOTAL","trabajo_self_ajustado","trabajo_other_ajustado","trabajo_total_ajustado","tasa_fallo_self","tasa_fallo_other","tasa_fallo_total"
"1870",1,1,1,0.1429,0.375,0.2857,1,1,1,1,0.4,0.3333,0.1667,0.2,1,0.2727,79.17,25,52.08,20.83,8.33,14.58,100,27.27,60.98,0,16.67,4
"2397",0.25,0.75,1,0.25,0.5,0.7143,0.8333,0.6667,0.6667,0.4,1,0.5,0.2,0.1667,0.6522,0.4783,62.5,45.83,54.17,4.17,4.17,4.17,65.22,47.83,56.52,6.67,9.09,7.69
"2411",0.875,1,0.8571,1,0.8333,1,1,1,0.6,1,0.8333,1,1,1,0.9,0.9474,75,75,75,16.67,20.83,18.75,90,94.74,92.31,33.33,0,16.67
"2431",1,1,1,0.4,0.625,0.75,1,1,1,1,0.6,0.4,0.6,0.8333,1,0.619,100,54.17,77.08,0,12.5,6.25,100,61.9,82.22,12.5,0,8.11
"2690",0.875,1,1,0.4286,0.5,0.875,1,0.8333,1,1,0.6,0.6667,0.6667,0.5,0.9565,0.6087,91.67,58.33,75,4.17,4.17,4.17,95.65,60.87,78.26,4.55,7.14,5.56
"2803",0.5,0.5,0.375,0.125,0.25,0.125,1,0.5,0.3333,0,0.6667,0,0,0,0.4583,0.1667,45.83,16.67,31.25,0,0,0,45.83,16.67,31.25,0,0,0
"2854",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,0,0,0,100,100,100,0,0,0
"2899",1,1,1,0.6,0.5,0.5,1,1,1,1,0.4,0.6667,0.25,0.75,1,0.5263,91.67,41.67,66.67,8.33,20.83,14.58,100,52.63,78.05,18.18,0,12.5
"2959",0.8571,1,1,0.5,0.1429,0.75,0.8333,1,1,1,0.3333,0.5,0.5,0.6,0.9545,0.4762,87.5,41.67,64.58,8.33,12.5,10.42,95.45,47.62,72.09,4.76,0,3.23
"2998",0.25,1,1,0.125,0.375,0.5,0.6667,0.8333,0.8333,0.6667,0.5,0.3333,0.1667,0.3333,0.75,0.3333,75,33.33,54.17,0,0,0,75,33.33,54.17,0,0,0
"3103",0.625,1,1,0.5714,0.625,1,1,0.8333,0.8333,0.8333,1,0.5,0.8333,0.4,0.875,0.7,87.5,58.33,72.92,0,16.67,8.33,87.5,70,79.55,19.05,0,11.43
"3178",0.7143,1,0.875,1,1,0.875,1,0.8333,0.8333,0.8333,1,0.8333,1,1,0.8696,0.9583,83.33,95.83,89.58,4.17,0,2.08,86.96,95.83,91.49,5,4.35,4.65
"3210",1,1,1,1,0.8571,0.875,1,1,1,1,0.6667,1,1,1,1,0.9091,100,83.33,91.67,0,8.33,4.17,100,90.91,95.65,20.83,15,18.18
"3228",1,0.875,1,0.875,0.875,1,1,1,0.8333,1,0.8333,0.8333,1,1,0.9583,0.913,95.83,87.5,91.67,0,4.17,2.08,95.83,91.3,93.62,0,0,0
"3472",1,1,1,0.875,1,1,1,1,1,1,1,1,1,0.8333,1,0.9583,95.83,95.83,95.83,4.17,0,2.08,100,95.83,97.87,4.35,4.35,4.35
"3624",0.1429,1,0.875,0.125,0.2857,0.875,0.8333,0.6667,0.75,0.4,0.6667,0.5,0.2,0.3333,0.6667,0.4348,58.33,41.67,50,12.5,4.17,8.33,66.67,43.48,54.55,7.14,0,4.17
"3694",1,1,0.875,1,0.875,0.8333,1,1,0.8333,1,1,1,0.8,0.75,0.9565,0.875,91.67,58.33,75,4.17,33.33,18.75,95.65,87.5,92.31,40.91,71.43,52.78
"3771",1,1,0.8571,1,1,0.875,0.8333,1,1,1,1,0.8,1,1,0.9565,0.9565,91.67,91.67,91.67,4.17,4.17,4.17,95.65,95.65,95.65,0,4.55,2.27
"3928",0.8333,1,0.8571,1,1,1,1,0.75,1,0.75,1,1,1,1,0.9,1,75,79.17,77.08,16.67,20.83,18.75,90,100,94.87,22.22,47.37,35.14
"3976",0,1,1,0,0.5,0.5,0.75,1,0.75,0.6,1,0,0,NA,0.7333,0.4,45.83,8.33,27.08,37.5,79.17,58.33,73.33,40,65,18.18,0,15.38
"4164",0.8571,0.75,0.5714,1,1,1,0.8333,0.5,0.8,0.8,1,1,1,1,0.7273,1,66.67,87.5,77.08,8.33,12.5,10.42,72.73,100,86.05,18.75,0,8.11
"4231",1,1,1,0.8571,0.8571,0.5714,1,1,1,1,0.8,0.8333,0.6,0.8,1,0.7619,100,66.67,83.33,0,12.5,6.25,100,76.19,88.89,16.67,6.25,12.5
"4241",1,0.8571,1,1,1,1,1,0.8,1,1,1,1,1,1,0.9524,1,83.33,79.17,81.25,12.5,20.83,16.67,95.24,100,97.5,15,31.58,23.08
"4336",1,1,1,0,0.75,0.2,1,1,1,1,0.25,0.3333,0.25,1,1,0.3333,95.83,16.67,56.25,4.17,50,27.08,100,33.33,77.14,39.13,25,37.04
"4423",1,0.8333,1,1,1,1,0.8333,1,1,1,1,1,1,1,0.9412,1,66.67,79.17,72.92,29.17,20.83,25,94.12,100,97.22,43.75,15.79,28.57
"4436",0.875,0.875,1,0.875,1,0.875,1,1,0.6667,1,1,0.8333,1,0.8333,0.913,0.9167,87.5,91.67,89.58,4.17,0,2.08,91.3,91.67,91.49,90.48,100,95.35
"4625",0.375,0.5,0.25,0.4,0.5,0.5,0.6667,0.1667,0.3333,0.3333,0.5,0.25,0.6,0.5,0.375,0.4737,37.5,37.5,37.5,0,20.83,10.42,37.5,47.37,41.86,22.22,0,11.11
"4883",0.6667,0.8571,0.8571,0.5,0.7143,0.6,0.8,1,0.8,0.6,1,0.75,0.5,0.4,0.8,0.625,66.67,41.67,54.17,16.67,33.33,25,80,62.5,72.22,12.5,20,15.38
"4920",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95.83,95.83,95.83,4.17,4.17,4.17,100,100,100,8.7,4.35,6.52
"4961",1,1,1,0.8333,1,0.8333,1,1,1,1,1,0.8,1,0.8333,1,0.8947,83.33,70.83,77.08,16.67,20.83,18.75,100,89.47,94.87,20,29.41,24.32
"5096",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,0,0,0,100,100,100,0,0,0
"5113",1,1,1,0,0,0.125,1,1,1,1,0.1667,0,0,0,1,0.0435,100,4.17,52.08,0,4.17,2.08,100,4.35,53.19,4.17,0,4
"5156",1,1,1,0.7143,1,0.875,1,1,1,1,1,0.8333,0.8333,0.8,1,0.8696,100,83.33,91.67,0,4.17,2.08,100,86.96,93.62,4.17,0,2.27
"5273",0.8571,0.875,1,0.875,0.875,1,1,0.8333,0.8,1,1,0.8333,1,0.8333,0.913,0.913,87.5,87.5,87.5,4.17,4.17,4.17,91.3,91.3,91.3,9.52,0,4.76
"5495",1,1,1,0.4286,0.5714,0.7143,1,1,1,1,0.5,0.6667,0.6667,0.5,1,0.5714,95.83,50,72.92,4.17,12.5,8.33,100,57.14,79.55,0,8.33,2.86
