"","sub","HelpSelf","HelpOther","SelfRew1","SelfRew2","SelfRew3","OtherRew1","OtherRew2","OtherRew3","SelfEff1","SelfEff2","SelfEff3","SelfEff4","OtherEff1","OtherEff2","OtherEff3","OtherEff4","WorkSelf","WorkOther"
"18","1867",0.3333,0.625,0.25,0.375,0.375,0.75,0.75,0.375,0.5,0.1667,0.5,0.1667,0.6667,0.6667,0.8333,0.3333,0.3478,0.625
"19","1870",0.7917,0.25,0.625,0.75,1,0.125,0.375,0.25,0.6667,0.8333,0.8333,0.8333,0.3333,0.3333,0.1667,0.1667,1,0.2727
"20","2397",0.625,0.4583,0.25,0.75,0.875,0.25,0.5,0.625,0.8333,0.6667,0.6667,0.3333,1,0.5,0.1667,0.1667,0.6522,0.4783
"21","2411",0.75,0.75,0.875,0.625,0.75,0.875,0.625,0.75,0.8333,0.8333,0.5,0.8333,0.8333,0.6667,0.8333,0.6667,0.9,0.9474
"22","2431",1,0.5417,1,1,1,0.25,0.625,0.75,1,1,1,1,0.5,0.3333,0.5,0.8333,1,0.619
"23","2690",0.9167,0.5833,0.875,0.875,1,0.375,0.5,0.875,0.8333,0.8333,1,1,0.5,0.6667,0.6667,0.5,0.9565,0.6087
"24","2803",0.4583,0.1667,0.5,0.5,0.375,0.125,0.25,0.125,1,0.5,0.3333,0,0.6667,0,0,0,0.4583,0.1667
"25","2854",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26","2899",0.9167,0.4167,0.875,0.875,1,0.375,0.5,0.375,1,1,0.8333,0.8333,0.3333,0.6667,0.1667,0.5,1,0.5263
"27","2939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"28","2959",0.875,0.4167,0.75,1,0.875,0.375,0.125,0.75,0.8333,0.8333,1,0.8333,0.3333,0.3333,0.5,0.5,0.9545,0.4762
"29","2998",0.75,0.3333,0.25,1,1,0.125,0.375,0.5,0.6667,0.8333,0.8333,0.6667,0.5,0.3333,0.1667,0.3333,0.75,0.3333
"30","3103",0.875,0.5833,0.625,1,1,0.5,0.625,0.625,1,0.8333,0.8333,0.8333,0.8333,0.3333,0.8333,0.3333,0.875,0.7
"31","3178",0.8333,0.9583,0.625,1,0.875,1,1,0.875,0.8333,0.8333,0.8333,0.8333,1,0.8333,1,1,0.8696,0.9583
"32","3210",1,0.8333,1,1,1,0.875,0.75,0.875,1,1,1,1,0.6667,0.8333,0.8333,1,1,0.9091
"33","3228",0.9583,0.875,1,0.875,1,0.875,0.875,0.875,1,1,0.8333,1,0.8333,0.8333,0.8333,1,0.9583,0.913
"34","3472",0.9583,0.9583,1,1,0.875,0.875,1,1,1,0.8333,1,1,1,1,1,0.8333,1,0.9583
"35","3624",0.5833,0.4167,0.125,0.75,0.875,0.125,0.25,0.875,0.8333,0.6667,0.5,0.3333,0.6667,0.5,0.1667,0.3333,0.6667,0.4348
"36","3694",0.9167,0.5833,0.875,1,0.875,0.25,0.875,0.625,0.8333,1,0.8333,1,0.6667,0.5,0.6667,0.5,0.9565,0.875
"37","3771",0.9167,0.9167,1,1,0.75,1,0.875,0.875,0.8333,1,0.8333,1,1,0.6667,1,1,0.9565,0.9565
