"sub","trial","decision","reward","effort","agent","success","grupo"
"1019",39,0,3,1,1,0,1
"1019",40,0,1,2,1,0,1
"1019",41,0,2,2,1,0,1
"1019",42,0,3,2,1,0,1
"1019",43,0,1,3,1,0,1
"1019",44,0,2,3,1,0,1
"1019",45,0,3,3,1,0,1
"1019",46,0,1,4,1,0,1
"1019",47,0,2,4,1,0,1
"1019",48,0,3,4,1,0,1
"1083",1,1,1,1,0,0,1
"1083",2,1,2,1,0,0,1
"1083",3,1,3,1,0,0,1
"1083",4,1,1,2,0,0,1
"1083",5,1,2,2,0,0,1
"1083",6,1,3,2,0,0,1
"1083",7,0,1,3,0,0,1
"1083",8,0,2,3,0,0,1
"1083",9,1,3,3,0,0,1
"1083",10,1,1,4,0,1,1
"1083",11,0,2,4,0,0,1
"1083",12,1,3,4,0,1,1
"1083",13,1,1,1,0,0,1
"1083",14,1,2,1,0,0,1
"1083",15,1,3,1,0,0,1
"1083",16,1,1,2,0,0,1
"1083",17,1,2,2,0,0,1
"1083",18,1,3,2,0,0,1
"1083",19,1,1,3,0,0,1
"1083",20,1,2,3,0,1,1
"1083",21,1,3,3,0,0,1
"1083",22,0,1,4,0,0,1
"1083",23,0,2,4,0,0,1
"1083",24,0,3,4,0,0,1
"1083",25,1,1,1,1,0,1
"1083",26,1,2,1,1,0,1
"1083",27,1,3,1,1,0,1
"1083",28,1,1,2,1,0,1
"1083",29,1,2,2,1,0,1
"1083",30,1,3,2,1,0,1
"1083",31,1,1,3,1,0,1
"1083",32,2,2,3,1,0,1
"1083",33,0,3,3,1,0,1
"1083",34,2,1,4,1,0,1
"1083",35,0,2,4,1,0,1
"1083",36,0,3,4,1,0,1
"1083",37,1,1,1,1,0,1
"1083",38,1,2,1,1,0,1
"1083",39,1,3,1,1,0,1
"1083",40,1,1,2,1,0,1
"1083",41,1,2,2,1,0,1
"1083",42,1,3,2,1,0,1
"1083",43,1,1,3,1,0,1
"1083",44,1,2,3,1,0,1
"1083",45,1,3,3,1,0,1
"1083",46,0,1,4,1,0,1
"1083",47,0,2,4,1,0,1
"1083",48,0,3,4,1,0,1
"1126",1,2,1,1,0,0,0
"1126",2,2,2,1,0,0,0
"1126",3,1,3,1,0,0,0
"1126",4,1,1,2,0,0,0
"1126",5,1,2,2,0,0,0
"1126",6,1,3,2,0,0,0
"1126",7,2,1,3,0,0,0
"1126",8,1,2,3,0,0,0
"1126",9,1,3,3,0,0,0
"1126",10,1,1,4,0,0,0
"1126",11,1,2,4,0,0,0
"1126",12,1,3,4,0,0,0
"1126",13,1,1,1,0,0,0
"1126",14,1,2,1,0,1,0
"1126",15,1,3,1,0,0,0
"1126",16,1,1,2,0,1,0
"1126",17,1,2,2,0,0,0
"1126",18,1,3,2,0,0,0
"1126",19,1,1,3,0,0,0
"1126",20,1,2,3,0,1,0
"1126",21,1,3,3,0,1,0
"1126",22,1,1,4,0,1,0
"1126",23,1,2,4,0,0,0
"1126",24,1,3,4,0,1,0
"1126",25,1,1,1,1,0,0
"1126",26,2,2,1,1,0,0
"1126",27,1,3,1,1,0,0
"1126",28,2,1,2,1,0,0
"1126",29,1,2,2,1,0,0
"1126",30,0,3,2,1,0,0
"1126",31,1,1,3,1,0,0
"1126",32,2,2,3,1,0,0
"1126",33,2,3,3,1,0,0
"1126",34,2,1,4,1,0,0
"1126",35,1,2,4,1,0,0
"1126",36,2,3,4,1,0,0
"1126",37,1,1,1,1,0,0
"1126",38,1,2,1,1,0,0
"1126",39,1,3,1,1,0,0
"1126",40,1,1,2,1,0,0
"1126",41,1,2,2,1,0,0
"1126",42,1,3,2,1,0,0
"1126",43,1,1,3,1,0,0
"1126",44,1,2,3,1,0,0
"1126",45,1,3,3,1,0,0
"1126",46,1,1,4,1,0,0
"1126",47,1,2,4,1,0,0
"1126",48,1,3,4,1,0,0
"1252",1,1,1,1,0,0,1
"1252",2,2,2,1,0,0,1
"1252",3,1,3,1,0,0,1
"1252",4,1,1,2,0,0,1
"1252",5,1,2,2,0,1,1
"1252",6,1,3,2,0,0,1
"1252",7,1,1,3,0,1,1
"1252",8,1,2,3,0,0,1
"1252",9,1,3,3,0,0,1
"1252",10,0,1,4,0,0,1
"1252",11,1,2,4,0,0,1
"1252",12,0,3,4,0,0,1
"1252",13,1,1,1,0,1,1
"1252",14,1,2,1,0,0,1
"1252",15,1,3,1,0,0,1
"1252",16,1,1,2,0,0,1
"1252",17,1,2,2,0,0,1
"1252",18,0,3,2,0,0,1
"1252",19,1,1,3,0,0,1
"1252",20,1,2,3,0,0,1
"1252",21,1,3,3,0,0,1
"1252",22,1,1,4,0,0,1
"1252",23,1,2,4,0,0,1
